Dataset,Owner,Create Date,Last Modified Date,KB,MB,GB
ACA_DATA_1,f3s3,2016-05-02,2016-05-02,553672,540.7,0.528
ACA_DATA_2,f3s3,2016-05-02,2016-05-02,501896,490.13,0.479
ACA_HIGHCOST_201510,e8yf,2015-11-23,2015-11-23,1352,1.32,0.001
ACA_HIGHCOST_201511,e8yf,2015-12-21,2015-12-21,1688,1.65,0.002
ACA_HIGHCOST_201512,e8yf,2016-02-02,2016-02-02,1912,1.87,0.002
ACA_HIGHCOST_201601,e8yf,2016-02-25,2016-02-25,64,0.06,0
ACA_HIGHCOST_201602,f3vc,2016-04-04,2016-04-04,64,0.06,0
ACA_HIGHCOST_201603,f3s3,2016-07-14,2016-07-14,344,0.34,0
ACA_HIGHCOST_201604,f3s3,2016-07-14,2016-07-14,512,0.5,0
ACA_INFO,d1p3,2015-08-13,2015-08-13,1104008,1078.13,1.053
ACCOLADE_ACA,d1p3,2015-08-14,2015-08-14,1153672,1126.63,1.1
ACCOLADE_ALL_2015,d1p3,2015-12-04,2015-12-04,946696,924.51,0.903
ACCOLADE_CLAIM_AMT_YTD,d1p3,2015-12-04,2015-12-04,287792,281.05,0.274
ACCOLADE_CLAIM_AMT_YTD_F3S3,f3s3,2015-12-10,2015-12-10,287792,281.05,0.274
ACCOLADE_CLAIM_AMT_YTD_S,d1p3,2015-12-08,2015-12-08,152216,148.65,0.145
ACCOLADE_EXC_2015,d1p3,2015-12-04,2015-12-04,168232,164.29,0.16
ACCOLADE_FINAL,d1p3,2015-08-14,2015-08-14,1152904,1125.88,1.099
ACCOLADE_FINAL2,d1p3,2015-08-17,2015-08-17,1203016,1174.82,1.147
ACCOLADE_FINAL3,d1p3,2015-08-17,2015-08-17,1197192,1169.13,1.142
ACCOLADE_RSK_ALL,d1p3,2015-12-04,2015-12-04,410728,401.1,0.392
ACCOLADE_RSK_ALL_MON,d1p3,2015-12-04,2015-12-04,430872,420.77,0.411
ACCOLADE_RSK_COST_F3S3,f3s3,2015-12-10,2015-12-10,2256864,2203.97,2.152
ACCOLADE_VB,d1p3,2015-08-14,2015-08-14,1152904,1125.88,1.099
ADD_MBR_INFO2,d1p3,2014-01-16,2014-01-16,707592,691.01,0.675
ADD_MBR_INFO2_2013,d1p3,2014-01-29,2014-01-29,456136,445.45,0.435
ADM_NON_EXP_2014,d1p3,2016-03-01,2016-03-01,18248,17.82,0.017
ADOLFO_HIGHCOST,d1p3,2015-03-02,2015-03-02,1496,1.46,0.001
ALINEO_DEC_FUT,d1p3,2014-02-12,2014-02-12,16,0.02,0
ALINEO_ENG,d1p3,2014-10-02,2014-10-02,88,0.09,0
ALINEO_EXCL_V,e2a6,2012-01-06,2012-01-06,224,0.22,0
ALINEO_NO_ENG,d1p3,2014-10-02,2014-10-02,1352,1.32,0.001
ALLPROF,e2a6,2012-03-19,2012-03-19,23365208,22817.59,22.283
ALL_DISCH_010715,d1p3,2015-01-07,2015-01-07,826504,807.13,0.788
ALL_DISCH_020515,d1p3,2015-02-05,2015-02-05,863944,843.7,0.824
ALL_DISCH_041115,d1p3,2015-04-11,2015-04-11,1052296,1027.63,1.004
ALL_DISCH_051715,d1p3,2015-05-17,2015-06-15,3776392,3687.88,3.601
ALL_DISCH_071015,d1p3,2015-07-10,2015-07-10,1464776,1430.45,1.397
ALL_DISCH_080114,f3a9,2014-08-01,2014-08-01,54408,53.13,0.052
ALL_DISCH_080214,f3a9,2014-08-01,2014-08-01,2061576,2013.26,1.966
ALL_DISCH_081415,d1p3,2015-08-14,2015-08-14,1629960,1591.76,1.554
ALL_DISCH_091915,d1p3,2015-09-19,2015-09-19,1709064,1669.01,1.63
ALL_DISCH_102414,f3a9,2014-10-24,2014-10-24,428808,418.76,0.409
ALL_DISCH_110714,f3a9,2014-11-07,2014-11-07,506504,494.63,0.483
ALL_DISCH_112114,f3a9,2014-11-21,2014-11-21,575624,562.13,0.549
ALL_DISCH_120514,f3a9,2014-12-05,2014-12-05,647880,632.7,0.618
ALL_DISCH_121714,f3a9,2014-12-17,2014-12-17,715656,698.88,0.683
ALL_OLD_MAILERS,d7yp,2016-07-15,2016-07-15,4656,4.55,0.004
ALT_PYMT_STRAT,d1p3,2014-09-30,2014-09-30,143688,140.32,0.137
ANU_ACUTE_PRIOR_YR_READM,d1p3,2016-05-08,2016-05-08,394952,385.7,0.377
ANU_ACUTE_READM_ALL_DX_2014,d1p3,2016-02-24,2016-02-24,28152,27.49,0.027
ANU_ACUTE_READM_DX_DCH_2014,d1p3,2016-02-24,2016-02-24,35784,34.95,0.034
ANU_ACUTE_UNIQ_READM_2014,d1p3,2016-02-24,2016-02-24,35608,34.77,0.034
ANU_ACUTE_UNIQ_READM_CCS,d1p3,2016-04-20,2016-04-20,340104,332.13,0.324
ANU_ACUTE_UNIQ_READM_CCS_15,d1p3,2016-04-20,2016-04-20,340104,332.13,0.324
ANU_ACUTE_UNIQ_READM_ETH_MSA_15,d1p3,2016-04-19,2016-04-19,124872,121.95,0.119
ANU_ADM_ALL_ENRT_2015,d1p3,2016-04-19,2016-04-19,2176,2.13,0.002
ANU_ADM_ELIG_POP_ALL_2015,d1p3,2016-04-19,2016-04-19,30080,29.38,0.029
ANU_ADM_ELIG_POP_READM_2015,d1p3,2016-04-19,2016-04-19,82856,80.91,0.079
ANU_ADM_ELIG_POP_READM_ETH_2015,d1p3,2016-04-19,2016-04-19,112968,110.32,0.108
