Snapshot Date,UNKN,d1ie,d1p3,d3l6,d7yp,e2a6,e2gh,e8yf,f0i6,f3a9,f3d2,f3pc,f3s3,f3vc,ha05,f6n9,f0de,f6s0,hbn3,e8ja,f2xc,f8ku,hta3,g0av
18NOV2015,347.051,1.668,181.174,0.132,179.357,81.822,70.868,297.123,0.167,6.442,3.666,4.916,28.821,43.612,5.871,,,,,,,,,
19NOV2015,347.051,1.668,181.174,0.132,134.732,81.822,70.86,310.964,0.167,6.442,3.666,4.916,28.821,44.49,5.871,,,,,,,,,
20NOV2015,347.051,1.668,181.174,0.132,134.732,81.822,70.86,312.288,0.167,6.442,3.666,4.916,28.916,44.435,5.871,,,,,,,,,
23NOV2015,,1.668,181.174,0.132,134.736,81.822,69.606,311.284,0.167,6.442,3.666,4.916,28.916,44.435,5.871,51.279,,,,,,,,
24NOV2015,,1.668,181.174,0.132,134.732,81.822,69.606,311.268,0.167,6.442,3.666,4.916,28.916,44.436,5.871,51.279,,,,,,,,
25NOV2015,,1.668,181.174,0.132,134.732,81.822,69.606,311.441,0.167,6.442,3.666,4.916,28.916,44.436,5.871,51.279,,,,,,,,
30NOV2015,,1.668,181.174,0.132,134.732,81.822,69.606,328.816,0.167,6.442,3.666,4.916,28.916,45.372,5.871,51.279,,,,,,,,
01DEC2015,,1.668,181.174,0.132,134.734,81.822,69.606,328.795,0.167,6.442,3.666,4.916,28.994,44.778,5.871,51.279,,,,,,,,
02DEC2015,3.666,1.668,181.174,0.132,134.734,81.822,69.606,328.851,0.167,6.442,,4.916,28.974,44.777,5.871,51.279,,,,,,,,
03DEC2015,3.666,1.668,181.174,0.132,134.734,81.822,69.606,328.323,0.167,6.442,,4.916,28.974,45.045,5.871,51.279,,,,,,,,
04DEC2015,3.666,1.668,181.174,0.132,134.734,81.822,69.606,327.986,0.167,6.442,,4.916,28.974,44.768,5.871,51.279,,,,,,,,
10DEC2015,3.798,1.668,183.544,,134.734,81.822,69.606,330.381,0.167,6.442,,4.916,29.248,45.672,5.871,51.279,,,,,,,,
13DEC2015,3.798,1.668,183.544,,134.734,81.822,69.606,331.846,0.167,6.442,,4.916,7.121,35.553,5.871,51.279,,,,,,,,
17DEC2015,0.132,1.668,183.544,,134.734,81.822,69.606,340.677,0.167,6.442,,4.916,7.172,37.167,5.871,51.279,3.666,,,,,,,
18DEC2015,0.132,1.668,184.156,,145.554,81.822,69.606,340.785,0.167,6.442,,4.916,7.275,39.582,5.871,51.279,3.666,,,,,,,
21DEC2015,0.132,1.668,184.156,,142.435,81.822,69.606,351.176,0.167,6.442,,4.916,7.305,41.09,5.871,51.279,3.666,,,,,,,
22DEC2015,0.132,1.668,184.156,,142.435,81.822,69.606,350.679,0.167,6.442,,4.916,7.31,41.094,5.871,51.279,3.666,,,,,,,
23DEC2015,0.132,1.668,184.159,,153.204,81.822,69.606,352.049,0.167,6.442,,4.916,7.31,41.126,5.871,51.279,3.666,,,,,,,
28DEC2015,0.132,1.668,184.352,,143.029,81.822,69.606,400.552,0.167,6.442,,4.916,7.31,42.007,5.871,51.279,3.666,,,,,,,
29DEC2015,,1.668,184.159,,141.088,81.822,69.606,353.141,0.167,6.442,,4.916,7.31,44.393,5.871,49.565,3.666,0.132,,,,,,
30DEC2015,,1.668,184.159,,141.088,81.822,69.606,366.731,0.167,6.442,,4.916,7.31,43.06,5.871,49.565,3.666,0.132,,,,,,
31DEC2015,,1.668,184.159,,141.088,81.822,69.606,368.177,0.167,6.442,,4.916,7.31,43.058,5.871,49.565,3.666,0.132,,,,,,
04JAN2016,,1.668,184.159,,141.088,81.822,69.606,358.631,0.167,6.442,,4.916,7.337,43.094,5.871,49.565,3.666,0.132,,,,,,
05JAN2016,,1.668,364.274,,141.088,81.822,69.606,425.461,0.167,6.442,,4.916,7.32,43.979,5.871,49.565,3.666,0.132,,,,,,
06JAN2016,,1.668,184.159,,141.088,81.822,69.606,401.99,0.167,6.442,,4.916,7.306,43.977,5.871,49.565,3.666,0.132,,,,,,
11JAN2016,,1.668,184.403,,149.113,81.822,69.606,420.156,0.167,6.442,,4.916,7.307,44.998,5.871,49.565,3.666,0.132,,,,,,
12JAN2016,,1.668,184.403,,149.112,81.822,69.606,419.918,0.167,6.442,,4.916,7.307,45.389,5.871,49.565,3.666,0.132,,,,,,
14JAN2016,,1.668,184.403,,149.111,81.822,69.606,418.814,0.167,6.442,,4.916,5.287,66.786,5.871,49.565,3.666,0.132,,,,,,
15JAN2016,,1.668,184.403,,149.111,81.822,69.606,424.772,0.167,6.442,,4.916,5.287,66.786,5.871,49.565,3.666,0.132,,,,,,
19JAN2016,,1.668,184.403,,149.111,81.822,69.606,424.772,0.167,6.442,,4.916,5.287,69.221,5.871,49.565,3.666,0.132,,,,,,
20JAN2016,,1.668,184.401,,149.111,81.822,69.606,424.772,0.167,6.442,,4.916,5.287,70.846,5.871,49.565,3.666,0.132,,,,,,
21JAN2016,,1.668,184.401,,149.111,81.822,69.606,426.322,0.167,6.442,,4.916,5.287,71.134,5.871,49.565,3.666,0.132,,,,,,
22JAN2016,,1.668,184.401,,149.111,81.822,69.606,426.374,0.167,6.442,,4.916,5.287,93.518,5.871,49.565,3.666,0.132,,,,,,
25JAN2016,,1.668,189.512,,149.111,81.822,69.606,426.374,0.167,6.442,,4.916,5.287,93.805,5.871,49.565,3.666,0.132,,,,,,
